                              ISSUE          EXE            MEM            WB             COMMIT
Ld F2 0                       [1]            [2, 3]         [4, 8]         [9]            [10]
Ld F3 21                      [2]            [3, 4]         [9, 13]        [14]           [15]
Ld F4 1                       [3]            [4, 5]         [14, 18]       [19]           [20]
Ld F5 20                      [4]            [5, 6]         [19, 23]       [24]           [25]
Ld F6 2                       [5]            [6, 7]         [24, 28]       [29]           [30]
Ld F7 19                      [6]            [7, 8]         [29, 33]       [34]           [35]
Ld F8 3                       [7]            [8, 9]         [34, 38]       [39]           [40]
Ld F9 16                      [8]            [9, 10]        [39, 43]       [44]           [45]
Ld F10 4                      [9]            [10, 11]       [44, 48]       [49]           [50]
Ld F11 15                     [10]           [11, 12]       [49, 53]       [54]           [55]
Ld F12 5                      [11]           [12, 13]       [54, 58]       [59]           [60]
Ld F13 14                     [12]           [13, 14]       [59, 63]       [65]           [66]
Ld F14 6                      [13]           [14, 15]       [64, 68]       [69]           [70]
Ld F15 11                     [14]           [15, 16]       [69, 73]       [74]           [75]
Ld F16 7                      [15]           [16, 17]       [74, 78]       [79]           [80]
Ld F17 10                     [16]           [17, 18]       [79, 83]       [84]           [85]
Ld F18 8                      [17]           [18, 19]       [84, 88]       [89]           [90]
Ld F19 9                      [18]           [19, 20]       [89, 93]       [94]           [95]
FMUL F26 F2 F3                [19]           [20, 41]       []             [42]           [96]
FMUL F27 F4 F5                [20]           [25, 46]       []             [47]           [97]
FMUL F28 F6 F7                [21]           [35, 56]       []             [57]           [98]
FMUL F29 F8 F9                [22]           [45, 66]       []             [67]           [99]
FMUL F30 F10 F11              [23]           [55, 76]       []             [77]           [100]
FMUL F31 F12 F13              [24]           [66, 87]       []             [88]           [101]
FMUL F32 F14 F15              [25]           [75, 96]       []             [97]           [102]
FMUL F33 F16 F17              [26]           [85, 106]      []             [107]          [108]
FMUL F34 F18 F19              [27]           [95, 116]      []             [117]          [118]
FADD F0 F0 F26                [28]           [43, 63]       []             [64]           [119]
FADD F0 F0 F27                [29]           [65, 85]       []             [86]           [120]
FADD F0 F0 F28                [30]           [87, 107]      []             [108]          [121]
FADD F0 F0 F29                [31]           [109, 128]     []             [129]          [130]
FADD F0 F0 F30                [32]           [130, 149]     []             [151]          [152]
FADD F0 F0 F31                [33]           [152, 171]     []             [172]          [173]
FADD F0 F0 F32                [34]           [173, 191]     []             [192]          [193]
FADD F0 F0 F33                [35]           [193, 212]     []             [213]          [214]
FADD F0 F0 F34                [36]           [214, 232]     []             [233]          [234]
Sd F0 34                      [37]           [38, 39]       [239, 243]     []             [239]
Ld F2 0                       [38]           [39, 40]       [94, 98]       [99]           [240]
Ld F3 22                      [39]           [40, 41]       [99, 103]      [104]          [241]
Ld F4 1                       [40]           [41, 42]       [104, 108]     [109]          [242]
Ld F5 21                      [41]           [42, 43]       [109, 113]     [114]          [243]
Ld F6 2                       [42]           [43, 44]       [114, 118]     [119]          [244]
Ld F7 20                      [43]           [44, 45]       [119, 123]     [124]          [245]
Ld F8 3                       [44]           [45, 46]       [124, 128]     [130]          [246]
Ld F9 17                      [45]           [46, 47]       [129, 133]     [134]          [247]
Ld F10 4                      [46]           [47, 48]       [134, 138]     [139]          [248]
Ld F11 16                     [47]           [48, 49]       [139, 143]     [144]          [249]
Ld F12 5                      [48]           [49, 50]       [144, 148]     [150]          [250]
Ld F13 15                     [49]           [50, 51]       [149, 153]     [154]          [251]
Ld F14 6                      [50]           [51, 52]       [154, 158]     [159]          [252]
Ld F15 12                     [51]           [52, 53]       [159, 163]     [164]          [253]
Ld F16 7                      [52]           [53, 54]       [164, 168]     [170]          [254]
Ld F17 11                     [53]           [54, 55]       [169, 173]     [175]          [255]
Ld F18 8                      [54]           [55, 56]       [174, 178]     [179]          [256]
Ld F19 10                     [55]           [56, 57]       [179, 183]     [184]          [257]
FMUL F26 F2 F3                [56]           [105, 126]     []             [127]          [258]
FMUL F27 F4 F5                [57]           [115, 136]     []             [137]          [259]
FMUL F28 F6 F7                [58]           [125, 147]     []             [149]          [260]
FMUL F29 F8 F9                [59]           [135, 157]     []             [158]          [261]
FMUL F30 F10 F11              [60]           [61, 82]       []             [83]           [262]
FMUL F31 F12 F13              [61]           [155, 176]     []             [177]          [263]
FMUL F32 F14 F15              [62]           [165, 186]     []             [187]          [264]
FMUL F33 F16 F17              [63]           [176, 197]     []             [198]          [265]
FMUL F34 F18 F19              [64]           [185, 206]     []             [207]          [266]
FADD F0 F0 F26                [65]           [128, 147]     []             [148]          [267]
FADD F0 F0 F27                [66]           [149, 168]     []             [169]          [268]
FADD F0 F0 F28                [67]           [170, 188]     []             [189]          [269]
FADD F0 F0 F29                [68]           [190, 209]     []             [210]          [270]
FADD F0 F0 F30                [69]           [211, 229]     []             [230]          [271]
FADD F0 F0 F31                [70]           [231, 249]     []             [250]          [272]
FADD F0 F0 F32                [71]           [251, 268]     []             [269]          [273]
FADD F0 F0 F33                [72]           [270, 288]     []             [289]          [290]
FADD F0 F0 F34                [73]           [290, 309]     []             [310]          [311]
Sd F0 35                      [74]           [75, 76]       [314, 318]     []             [314]
Ld F2 0                       [75]           [76, 77]       [184, 188]     [190]          [315]
Ld F3 23                      [76]           [77, 78]       [189, 193]     [195]          [316]
Ld F4 1                       [77]           [78, 79]       [194, 198]     [199]          [317]
