                              ISSUE          EXE            MEM            WB             COMMIT
Ld R2 0                       [1]            [2, 3]         [4, 8]         [9]            [10]
Ld R3 21                      [2]            [3, 4]         [9, 13]        [14]           [15]
Ld R4 1                       [3]            [4, 5]         [14, 18]       [19]           [20]
Ld R5 20                      [4]            [5, 6]         [19, 23]       [24]           [25]
Ld R6 2                       [5]            [6, 7]         [24, 28]       [29]           [30]
Ld R7 19                      [6]            [7, 8]         [29, 33]       [34]           [35]
Ld R8 3                       [7]            [8, 9]         [34, 38]       [39]           [40]
Ld R9 16                      [8]            [9, 10]        [39, 43]       [44]           [45]
Ld R10 4                      [9]            [10, 11]       [44, 48]       [49]           [50]
Ld R11 15                     [10]           [11, 12]       [49, 53]       [54]           [55]
Ld R12 5                      [11]           [12, 13]       [54, 58]       [59]           [60]
Ld R13 14                     [12]           [13, 14]       [59, 63]       [64]           [65]
Ld R14 6                      [14]           [15, 16]       [64, 68]       [69]           [70]
Ld R15 11                     [19]           [20, 21]       [69, 73]       [74]           [75]
Ld R16 7                      [24]           [25, 26]       [74, 78]       [80]           [81]
Ld R17 10                     [29]           [30, 31]       [79, 83]       [84]           [85]
Ld R18 8                      [34]           [35, 36]       [84, 88]       [89]           [90]
Ld R19 9                      [39]           [40, 41]       [89, 93]       [94]           [95]
MUL R26 R2 R3                 [40]           [41, 50]       []             [51]           [96]
MUL R27 R4 R5                 [41]           [42, 51]       []             [52]           [97]
MUL R28 R6 R7                 [42]           [43, 52]       []             [53]           [98]
MUL R29 R8 R9                 [43]           [45, 55]       []             [56]           [99]
MUL R30 R10 R11               [44]           [55, 65]       []             [66]           [100]
MUL R31 R12 R13               [45]           [65, 75]       []             [76]           [101]
MUL R32 R14 R15               [46]           [75, 85]       []             [87]           [102]
MUL R33 R16 R17               [47]           [85, 95]       []             [96]           [103]
MUL R34 R18 R19               [48]           [95, 105]      []             [106]          [107]
ADD R0 R0 R26                 [49]           [52, 57]       []             [58]           [108]
ADD R0 R0 R27                 [50]           [59, 64]       []             [65]           [109]
ADD R0 R0 R28                 [51]           [66, 71]       []             [72]           [110]
ADD R0 R0 R29                 [52]           [73, 78]       []             [79]           [111]
ADD R0 R0 R30                 [53]           [80, 85]       []             [86]           [112]
ADD R0 R0 R31                 [54]           [87, 92]       []             [93]           [113]
ADD R0 R0 R32                 [55]           [94, 99]       []             [100]          [114]
ADD R0 R0 R33                 [56]           [101, 106]     []             [107]          [115]
ADD R0 R0 R34                 [57]           [108, 113]     []             [114]          [116]
Sd R0 34                      [58]           [59, 60]       [119, 123]     []             [119]
Ld R2 0                       [59]           [60, 61]       [94, 98]       [99]           [120]
Ld R3 22                      [60]           [61, 62]       [99, 103]      [104]          [121]
Ld R4 1                       [61]           [62, 63]       [104, 108]     [109]          [122]
Ld R5 21                      [64]           [65, 66]       [109, 113]     [115]          [123]
Ld R6 2                       [69]           [70, 71]       [114, 118]     [119]          [124]
Ld R7 20                      [74]           [75, 76]       [124, 128]     [129]          [130]
Ld R8 3                       [79]           [80, 81]       [129, 133]     [134]          [135]
Ld R9 17                      [84]           [85, 86]       [134, 138]     [139]          [140]
Ld R10 4                      [89]           [90, 91]       [139, 143]     [144]          [145]
Ld R11 16                     [94]           [95, 96]       [144, 148]     [149]          [150]
Ld R12 5                      [99]           [100, 101]     [149, 153]     [154]          [155]
Ld R13 15                     [104]          [105, 106]     [154, 158]     [159]          [160]
Ld R14 6                      [109]          [110, 111]     [159, 163]     [164]          [165]
Ld R15 12                     [114]          [115, 116]     [164, 168]     [169]          [170]
Ld R16 7                      [119]          [120, 121]     [169, 173]     [175]          [176]
Ld R17 11                     [124]          [125, 126]     [174, 178]     [179]          [180]
Ld R18 8                      [129]          [130, 131]     [179, 183]     [184]          [185]
Ld R19 10                     [134]          [135, 136]     [184, 188]     [189]          [190]
MUL R26 R2 R3                 [135]          [136, 145]     []             [146]          [191]
MUL R27 R4 R5                 [136]          [137, 146]     []             [147]          [192]
MUL R28 R6 R7                 [137]          [138, 147]     []             [148]          [193]
MUL R29 R8 R9                 [138]          [140, 150]     []             [151]          [194]
MUL R30 R10 R11               [139]          [150, 160]     []             [161]          [195]
MUL R31 R12 R13               [140]          [160, 170]     []             [171]          [196]
MUL R32 R14 R15               [141]          [170, 180]     []             [182]          [197]
MUL R33 R16 R17               [142]          [180, 190]     []             [191]          [198]
MUL R34 R18 R19               [143]          [190, 200]     []             [201]          [202]
ADD R0 R0 R26                 [144]          [147, 152]     []             [153]          [203]
ADD R0 R0 R27                 [145]          [154, 159]     []             [160]          [204]
ADD R0 R0 R28                 [146]          [161, 166]     []             [167]          [205]
ADD R0 R0 R29                 [147]          [168, 173]     []             [174]          [206]
ADD R0 R0 R30                 [148]          [175, 180]     []             [181]          [207]
ADD R0 R0 R31                 [149]          [182, 187]     []             [188]          [208]
ADD R0 R0 R32                 [150]          [189, 194]     []             [195]          [209]
ADD R0 R0 R33                 [151]          [196, 201]     []             [202]          [210]
ADD R0 R0 R34                 [152]          [203, 208]     []             [209]          [211]
Sd R0 35                      [153]          [154, 155]     [214, 218]     []             [214]
Ld R2 0                       [154]          [155, 156]     [189, 193]     [194]          [215]
Ld R3 23                      [155]          [156, 157]     [194, 198]     [199]          [216]
Ld R4 1                       [156]          [157, 158]     [199, 203]     [204]          [217]
Ld R5 22                      [159]          [160, 161]     [204, 208]     [210]          [218]
Ld R6 2                       [164]          [165, 166]     [209, 213]     [214]          [219]
Ld R7 21                      [169]          [170, 171]     [219, 223]     [224]          [225]
Ld R8 3                       [174]          [175, 176]     [224, 228]     [229]          [230]
Ld R9 18                      [179]          [180, 181]     [229, 233]     [234]          [235]
Ld R10 4                      [184]          [185, 186]     [234, 238]     [239]          [240]
Ld R11 17                     [189]          [190, 191]     [239, 243]     [244]          [245]
Ld R12 5                      [194]          [195, 196]     [244, 248]     [249]          [250]
Ld R13 16                     [199]          [200, 201]     [249, 253]     [254]          [255]
Ld R14 6                      [204]          [205, 206]     [254, 258]     [259]          [260]
Ld R15 13                     [209]          [210, 211]     [259, 263]     [264]          [265]
Ld R16 7                      [214]          [215, 216]     [264, 268]     [270]          [271]
Ld R17 12                     [219]          [220, 221]     [269, 273]     [274]          [275]
Ld R18 8                      [224]          [225, 226]     [274, 278]     [279]          [280]
Ld R19 11                     [229]          [230, 231]     [279, 283]     [284]          [285]
MUL R26 R2 R3                 [230]          [231, 240]     []             [241]          [286]
MUL R27 R4 R5                 [231]          [232, 241]     []             [242]          [287]
MUL R28 R6 R7                 [232]          [233, 242]     []             [243]          [288]
MUL R29 R8 R9                 [233]          [235, 245]     []             [246]          [289]
MUL R30 R10 R11               [234]          [245, 255]     []             [256]          [290]
MUL R31 R12 R13               [235]          [255, 265]     []             [266]          [291]
MUL R32 R14 R15               [236]          [265, 275]     []             [277]          [292]
MUL R33 R16 R17               [237]          [275, 285]     []             [286]          [293]
MUL R34 R18 R19               [238]          [285, 295]     []             [296]          [297]
ADD R0 R0 R26                 [239]          [242, 247]     []             [248]          [298]
ADD R0 R0 R27                 [240]          [249, 254]     []             [255]          [299]
ADD R0 R0 R28                 [241]          [256, 261]     []             [262]          [300]
ADD R0 R0 R29                 [242]          [263, 268]     []             [269]          [301]
ADD R0 R0 R30                 [243]          [270, 275]     []             [276]          [302]
ADD R0 R0 R31                 [244]          [277, 282]     []             [283]          [303]
ADD R0 R0 R32                 [245]          [284, 289]     []             [290]          [304]
ADD R0 R0 R33                 [246]          [291, 296]     []             [297]          [305]
ADD R0 R0 R34                 [247]          [298, 303]     []             [304]          [306]
Sd R0 36                      [248]          [249, 250]     [309, 313]     []             [309]
Ld R2 0                       [249]          [250, 251]     [284, 288]     [289]          [310]
Ld R3 24                      [250]          [251, 252]     [289, 293]     [294]          [311]
Ld R4 1                       [251]          [252, 253]     [294, 298]     [299]          [312]
Ld R5 23                      [254]          [255, 256]     [299, 303]     [305]          [313]
